"pred","outcome"
0.0405146236,0
0.0355085522,0
0.1592638182,1
0.7138995037,1
0.00713300780000004,0
0.0211885468,0
0.9328760793,1
0.0450427744,0
0.0581961478,0
0.00653509419999998,0
0.6922133829,1
0.9762196274,1
0.0142027164,0
0.00194031220000002,0
0.0744184716,0
0.00799627540000003,0
0.0166140533,0
0.0215128282,0
0.9656134275,1
0.3669260991,1
0.00752679720000005,0
0.5972176802,1
0.9628836339,1
0.0214609824000001,0
0.0443891008,0
0.3322705574,1
0.6829203058,0
0.7695819289,0
0.0157265881,0
0.8249459801,1
0.0068477938,0
0.188819092,1
0.7910221008,1
0.2807537018,1
0.00404042959999995,0
0.2618328159,1
0.2429927971,0
0.7803964962,1
0.9146310111,1
0.8388177025,0
0.0307140222,0
0.8465642506,1
0.0664116686,0
0.0196445750000001,0
0.4723442322,0
0.9355721539,1
0.7876958,1
0.7398680645,1
0.5041487439,1
0.0376445464,0
0.0115706761,0
0.189506232,0
0.0200011345,0
0.9512144788,1
0.0495730177,0
0.0789429255,0
0.8004752838,1
0.00270493949999995,0
0.6896716072,1
0.0234882595,0
0.0447264949,0
0.7570994176,1
0.00726398709999998,0
0.0177177012,0
0.0187193109,0
0.00555977119999995,0
0.00784959549999997,0
0.0256449244,0
0.7637358758,1
0.0385731897,0
0.0810038874,0
0.0203435553,0
0.0167078827,0
0.0277492827,0
0.0032592602,0
0.0329267765,0
0.026684215,0
0.1921221255,0
0.0530364972,0
0.0628389844,0
0.0495730177,0
0.0113982926,0
0.0108184499,0
0.0410804436,0
0.0770863529,0
0.4532169013,1
0.062052864,0
0.0258411137,0
0.0417268071,0
0.0158177767,0
0.6789588339,1
0.6742292099,1
0.0189821854,0
0.2408016068,1
0.0239843277,0
0.00688853619999996,0
0.5639667177,1
0.1568637883,0
0.0837852791,0
0.0203128795,0
0.0536512182,0
0.13722925,0
0.1390418923,1
0.9062539905,1
0.3504088317,0
0.9476262081,1
0.0681221286,0
0.0265072696999999,0
0.0451120467,0
0.00287241630000001,0
0.00488194040000001,0
0.1590845037,1
0.2149015343,0
0.00557505199999997,0
0.00247073490000005,0
0.0171934432,0
0.00940526159999999,0
0.0299678566,0
0.0391705728,0
0.2867085665,0
0.0501157074,0
0.0257666560000001,0
0.1646735209,0
0.9724319498,1
0.8396610757,1
0.00577706990000004,0
0.0210558812,0
0.0284096655,0
0.017672857,0
0.0685828382,0
