threshold	decision_strategy	sample_size	setting_id	delta_above0	p_above50	p_above55	p_above60	p_above65	p_above70	p_above75	p_above80	p_above85	p_above90	p_above95
1e-9	phat0	250	1	0	0	0	0	0	0	0	0	0	0	0
0.01	phat0	250	1	0	0	0	0	0	0	0	0	0	0	0
0.02	phat0	250	1	0	0	0	0	0	0	0	0	0	0	0
0.03	phat0	250	1	0.037	0.185	0.113	0.058	0.017	0.003	0	0	0	0	0
0.04	phat0	250	1	0.099	0.124	0.109	0.096	0.082	0.058	0.038	0.016	0.005	0	0
0.05	phat0	250	1	0.099	0.135	0.104	0.086	0.072	0.06	0.04	0.03	0.019	0.01	0.002
0.06	phat0	250	1	0.12	0.156	0.124	0.098	0.08	0.06	0.046	0.034	0.017	0.009	0.003
0.07	phat0	250	1	0.144	0.172	0.143	0.124	0.098	0.078	0.053	0.04	0.029	0.014	0.006
0.08	phat0	250	1	0.163	0.182	0.152	0.122	0.099	0.084	0.062	0.048	0.031	0.017	0.007
0.09	phat0	250	1	0.174	0.194	0.158	0.142	0.12	0.1	0.078	0.057	0.034	0.018	0.006
0.1	phat0	250	1	0.189	0.205	0.176	0.147	0.121	0.107	0.083	0.062	0.041	0.023	0.007
0.11	phat0	250	1	0.196	0.205	0.178	0.161	0.13	0.106	0.084	0.057	0.041	0.02	0.01
0.12	phat0	250	1	0.211	0.217	0.195	0.165	0.129	0.109	0.085	0.057	0.038	0.025	0.009
0.13	phat0	250	1	0.218	0.224	0.192	0.161	0.128	0.099	0.081	0.063	0.046	0.03	0.008
0.14	phat0	250	1	0.24	0.245	0.206	0.17	0.139	0.109	0.081	0.057	0.041	0.026	0.011
0.15	phat0	250	1	0.242	0.246	0.199	0.172	0.141	0.108	0.088	0.062	0.043	0.021	0.007
0.16	phat0	250	1	0.237	0.242	0.203	0.163	0.136	0.109	0.08	0.057	0.04	0.024	0.007
0.17	phat0	250	1	0.24	0.237	0.196	0.166	0.138	0.109	0.091	0.064	0.044	0.026	0.009
0.18	phat0	250	1	0.233	0.232	0.201	0.173	0.139	0.115	0.085	0.059	0.043	0.024	0.005
0.19	phat0	250	1	0.235	0.236	0.209	0.178	0.154	0.116	0.094	0.058	0.041	0.027	0.006
0.2	phat0	250	1	0.222	0.222	0.186	0.161	0.133	0.115	0.097	0.064	0.038	0.021	0.005
0.21	phat0	250	1	0.228	0.225	0.185	0.154	0.125	0.106	0.088	0.067	0.047	0.024	0.007
0.22	phat0	250	1	0.218	0.217	0.192	0.155	0.126	0.105	0.081	0.06	0.044	0.018	0.003
0.23	phat0	250	1	0.225	0.221	0.178	0.149	0.124	0.098	0.076	0.056	0.04	0.018	0.003
0.24	phat0	250	1	0.215	0.213	0.181	0.149	0.115	0.098	0.074	0.054	0.038	0.019	0.008
0.25	phat0	250	1	0.215	0.212	0.177	0.142	0.116	0.089	0.069	0.048	0.033	0.018	0.007
0.26	phat0	250	1	0.211	0.209	0.167	0.142	0.108	0.081	0.062	0.045	0.032	0.018	0.006
0.27	phat0	250	1	0.188	0.186	0.16	0.132	0.107	0.08	0.059	0.04	0.03	0.02	0.008
0.28	phat0	250	1	0.178	0.176	0.142	0.124	0.102	0.085	0.061	0.039	0.029	0.015	0.006
0.29	phat0	250	1	0.175	0.172	0.146	0.12	0.098	0.075	0.056	0.036	0.024	0.014	0.008
0.3	phat0	250	1	0.174	0.173	0.14	0.115	0.093	0.065	0.051	0.031	0.023	0.016	0.009
1e-9	phat0	500	2	0	0	0	0	0	0	0	0	0	0	0
0.01	phat0	500	2	0	0	0	0	0	0	0	0	0	0	0
0.02	phat0	500	2	0.001	0.112	0.033	0.004	0	0	0	0	0	0	0
0.03	phat0	500	2	0.063	0.097	0.074	0.06	0.052	0.047	0.037	0.018	0.003	0	0
0.04	phat0	500	2	0.079	0.111	0.086	0.057	0.042	0.033	0.023	0.017	0.01	0.006	0.001
0.05	phat0	500	2	0.085	0.11	0.084	0.062	0.054	0.04	0.025	0.014	0.006	0	0
0.06	phat0	500	2	0.1	0.123	0.095	0.078	0.058	0.048	0.039	0.03	0.014	0.01	0.001
0.07	phat0	500	2	0.128	0.144	0.117	0.088	0.074	0.054	0.037	0.022	0.014	0.006	0.002
0.08	phat0	500	2	0.142	0.153	0.127	0.098	0.072	0.057	0.04	0.027	0.015	0.005	0.001
0.09	phat0	500	2	0.162	0.174	0.138	0.111	0.078	0.055	0.041	0.032	0.016	0.006	0.004
0.1	phat0	500	2	0.173	0.182	0.141	0.117	0.096	0.076	0.055	0.035	0.021	0.01	0.001
0.11	phat0	500	2	0.175	0.185	0.145	0.113	0.087	0.062	0.047	0.031	0.02	0.012	0.004
0.12	phat0	500	2	0.189	0.194	0.159	0.125	0.102	0.072	0.047	0.036	0.023	0.009	0.002
0.13	phat0	500	2	0.194	0.197	0.157	0.129	0.108	0.08	0.056	0.033	0.02	0.01	0.001
0.14	phat0	500	2	0.19	0.193	0.164	0.137	0.105	0.086	0.065	0.044	0.029	0.015	0.004
0.15	phat0	500	2	0.178	0.178	0.155	0.123	0.103	0.081	0.058	0.042	0.024	0.014	0.005
0.16	phat0	500	2	0.179	0.179	0.148	0.122	0.101	0.08	0.056	0.033	0.025	0.014	0.006
0.17	phat0	500	2	0.183	0.182	0.149	0.126	0.097	0.073	0.046	0.036	0.022	0.012	0.003
0.18	phat0	500	2	0.167	0.167	0.147	0.12	0.092	0.066	0.046	0.031	0.022	0.011	0.004
0.19	phat0	500	2	0.17	0.171	0.134	0.107	0.089	0.065	0.045	0.03	0.02	0.012	0.003
0.2	phat0	500	2	0.175	0.172	0.145	0.115	0.094	0.071	0.046	0.033	0.023	0.009	0.003
0.21	phat0	500	2	0.173	0.173	0.142	0.117	0.086	0.064	0.047	0.033	0.017	0.006	0.004
0.22	phat0	500	2	0.168	0.166	0.145	0.117	0.086	0.063	0.045	0.032	0.019	0.006	0.003
0.23	phat0	500	2	0.168	0.165	0.124	0.104	0.087	0.06	0.046	0.034	0.017	0.007	0.002
0.24	phat0	500	2	0.147	0.146	0.119	0.1	0.082	0.062	0.04	0.027	0.018	0.008	0.001
0.25	phat0	500	2	0.14	0.139	0.117	0.089	0.067	0.049	0.034	0.025	0.012	0.004	0.001
0.26	phat0	500	2	0.139	0.139	0.11	0.085	0.062	0.045	0.028	0.02	0.01	0.006	0.001
0.27	phat0	500	2	0.131	0.129	0.107	0.083	0.064	0.049	0.036	0.02	0.01	0.005	0.002
0.28	phat0	500	2	0.125	0.124	0.104	0.078	0.06	0.041	0.031	0.019	0.01	0.004	0.001
0.29	phat0	500	2	0.112	0.112	0.096	0.077	0.064	0.038	0.022	0.017	0.012	0.004	0.001
0.3	phat0	500	2	0.102	0.1	0.09	0.071	0.051	0.03	0.023	0.014	0.009	0.003	0.002
1e-9	phat0	1000	3	0	0	0	0	0	0	0	0	0	0	0
0.01	phat0	1000	3	0	0	0	0	0	0	0	0	0	0	0
0.02	phat0	1000	3	0.063	0.066	0.064	0.063	0.059	0.039	0.015	0.003	0	0	0
0.03	phat0	1000	3	0.058	0.07	0.061	0.051	0.039	0.03	0.027	0.02	0.015	0.011	0.006
0.04	phat0	1000	3	0.061	0.072	0.059	0.05	0.034	0.027	0.018	0.014	0.005	0.004	0.002
0.05	phat0	1000	3	0.06	0.066	0.058	0.047	0.038	0.028	0.021	0.018	0.008	0.005	0.001
0.06	phat0	1000	3	0.067	0.07	0.059	0.045	0.034	0.027	0.017	0.014	0.01	0.006	0.004
0.07	phat0	1000	3	0.062	0.066	0.054	0.045	0.038	0.03	0.023	0.018	0.01	0.007	0.002
0.08	phat0	1000	3	0.065	0.071	0.055	0.044	0.035	0.029	0.021	0.015	0.01	0.006	0.002
0.09	phat0	1000	3	0.079	0.084	0.063	0.046	0.039	0.028	0.017	0.013	0.008	0.005	0
0.1	phat0	1000	3	0.079	0.082	0.069	0.051	0.039	0.026	0.02	0.013	0.009	0.004	0.001
0.11	phat0	1000	3	0.094	0.097	0.072	0.058	0.038	0.03	0.023	0.017	0.009	0.006	0.002
0.12	phat0	1000	3	0.103	0.102	0.085	0.069	0.049	0.038	0.027	0.019	0.011	0.006	0.001
0.13	phat0	1000	3	0.105	0.106	0.089	0.069	0.049	0.037	0.025	0.019	0.011	0.007	0.002
0.14	phat0	1000	3	0.099	0.098	0.084	0.063	0.047	0.034	0.021	0.016	0.011	0.005	0.002
0.15	phat0	1000	3	0.093	0.092	0.077	0.055	0.043	0.033	0.022	0.016	0.01	0.006	0.001
0.16	phat0	1000	3	0.085	0.084	0.069	0.054	0.044	0.033	0.024	0.015	0.009	0.005	0
